Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,174.17620137564992,179.12244407617163,174.05867174915193,178.2703094482422,104487900,0.0,0.0
2022-01-04 00:00:00-05:00,178.87757285498617,179.18120100693088,175.43968197842852,176.0077667236328,99310400,0.0,0.0
2022-01-05 00:00:00-05:00,175.91962765597447,176.46811917460536,171.0517430102158,171.32598876953125,94537600,0.0,0.0
2022-01-06 00:00:00-05:00,169.15158724290762,171.6981718811385,168.11336910348592,168.46597290039062,96904000,0.0,0.0
2022-01-07 00:00:00-05:00,169.3376997173353,170.5620164817169,167.5159157741246,168.6324920654297,86709100,0.0,0.0
2022-01-10 00:00:00-05:00,165.60596867727935,168.9556972289068,164.71466257169936,168.65206909179688,106765600,0.0,0.0
2022-01-11 00:00:00-05:00,168.77941063247667,171.58063290230876,167.3102305884416,171.48269653320312,76138300,0.0,0.0
2022-01-12 00:00:00-05:00,172.50135116951776,173.53956952156884,171.22807353490404,171.92347717285156,74805200,0.0,0.0
2022-01-13 00:00:00-05:00,172.1683029139275,172.99104011356832,168.26027879772633,168.65206909179688,84505800,0.0,0.0
2022-01-14 00:00:00-05:00,167.81957263372232,170.20944175765135,167.57470923898,169.5140380859375,80440800,0.0,0.0
2022-01-18 00:00:00-05:00,167.986029250503,168.99486494876345,165.92918629810023,166.31117248535156,90956700,0.0,0.0
2022-01-19 00:00:00-05:00,166.50708841129685,167.56489994287205,162.53050974989438,162.81454467773438,94815000,0.0,0.0
2022-01-20 00:00:00-05:00,163.5491030708596,166.19362391453956,160.806630921933,161.12985229492188,91420500,0.0,0.0
2022-01-21 00:00:00-05:00,161.04173994454513,162.91249968467412,158.965303342259,159.0730438232422,122848900,0.0,0.0
2022-01-24 00:00:00-05:00,156.7321237742352,158.9652761385697,151.521424960607,158.2992401123047,162294600,0.0,0.0
2022-01-25 00:00:00-05:00,155.71348938472497,159.41582185177984,153.79376918824497,156.49705505371094,115798400,0.0,0.0
2022-01-26 00:00:00-05:00,160.14063545703362,161.01234841002858,154.57734716045317,156.40892028808594,108275300,0.0,0.0
2022-01-27 00:00:00-05:00,159.11219273840805,160.47363228871149,155.02787408749768,155.9485626220703,121954600,0.0,0.0
2022-01-28 00:00:00-05:00,162.30523687541563,166.8499002604039,159.4550237648548,166.83030700683594,179935700,0.0,0.0
2022-01-31 00:00:00-05:00,166.66380312140188,171.4043542462614,166.02714940989443,171.18887329101562,115541600,0.0,0.0
2022-02-01 00:00:00-05:00,170.43466091747592,171.2476089382928,168.7695933203212,171.0223388671875,86213900,0.0,0.0
2022-02-02 00:00:00-05:00,171.1595110141142,172.26629832848187,169.76868874093756,172.22711181640625,84914300,0.0,0.0
2022-02-03 00:00:00-05:00,170.8950419808838,172.61888970067017,168.5835311300311,169.34750366210938,89418100,0.0,0.0
2022-02-04 00:00:00-05:00,168.3667905913057,170.74010088602927,167.3860892995176,169.06309509277344,82465400,0.22,0.0
2022-02-07 00:00:00-05:00,169.52399102516253,170.59295162188582,167.65084835172632,168.34715270996094,77251200,0.0,0.0
2022-02-08 00:00:00-05:00,168.4158439042664,171.96599307785382,168.12163049721661,171.45602416992188,74829200,0.0,0.0
2022-02-09 00:00:00-05:00,172.65247937368048,173.2408912177467,171.524663818335,172.87803649902344,71285000,0.0,0.0
