Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.054187604656643185,0.06215644193039626,0.054187604656643185,0.05949975550174713,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.0594997955929186,0.06268769925409881,0.0594997955929186,0.06162465736269951,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.0616246458824551,0.0632189029193006,0.0616246458824551,0.06268768757581711,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06268770712664748,0.06321892263580467,0.06056223408343314,0.06109344959259033,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.061093465344618236,0.06162468099074136,0.05949981840624886,0.06003103405237198,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.06003099326776778,0.06003099326776778,0.05790613212688991,0.058437347412109375,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.05843735144085679,0.05949978208454108,0.055781274831646056,0.05684370547533035,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.056843740282231645,0.056843740282231645,0.05471887769375441,0.05525009334087372,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.0552500888490989,0.05631252005696297,0.05471887324516687,0.05631252005696297,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05631250444781459,0.0584373662745566,0.05578128899112909,0.057906150817871094,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.057906150354383464,0.05896858125925065,0.057906150354383464,0.05896858125925064,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.05896856269732884,0.05896856269732884,0.05737491684167044,0.058437347412109375,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.0584373662745566,0.0584373662745566,0.057906150817871094,0.057906150817871094,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.05790613212688991,0.05949977798254831,0.05790613212688991,0.058437347412109375,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05896858125925065,0.06056222761655142,0.05896858125925065,0.05896858125925064,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05896858125925065,0.05949979671168423,0.05896858125925065,0.05896858125925064,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.0589685817312421,0.059499797187927604,0.056843719904500094,0.057906150817871094,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.05790613212688991,0.05949977798254831,0.05790613212688991,0.058437347412109375,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.05843732533272634,0.060030970586257525,0.05843732533272634,0.05949975550174713,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.05949981840624886,0.06056224969849511,0.058437387114002606,0.06003103405237198,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.06056223408343314,0.06215649161749029,0.06056223408343314,0.06109344959259033,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.06109344192025428,0.06215648381165358,0.06109344192025428,0.06162465736269951,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.06162465736269951,0.06162465736269951,0.0594997955929186,0.06162465736269951,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.06162466725157521,0.06428135589662753,0.061093451723886125,0.06375014036893845,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.06375012898096169,0.06428134441375732,0.06375012898096169,0.06428134441375732,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.06428136840703606,0.06428136840703606,0.061624679244940195,0.06215650588274002,21628800,0.0,0.0
1986-04-21 00:00:00-05:00,0.06215650588274002,0.06268772151381403,0.060562247982792174,0.06215650588274002,22924800,0.0,0.0
1986-04-22 00:00:00-05:00,0.06215649161749029,0.06215649161749029,0.06109344959259033,0.06109344959259033,15552000,0.0,0.0
1986-04-23 00:00:00-05:00,0.06109342390025285,0.06162463918601182,0.060562208614493886,0.06135902926325798,15609600,0.0,0.0
1986-04-24 00:00:00-05:00,0.06135905186551296,0.06853107415135216,0.06109344640466926,0.06746864318847656,62352000,0.0,0.0
1986-04-25 00:00:00-05:00,0.06799985663621463,0.0746406632420067,0.06799985663621463,0.0717189759016037,85795200,0.0,0.0
1986-04-28 00:00:00-04:00,0.0717189497732411,0.07278138031728167,0.07118712349490798,0.07225016504526138,28886400,0.0,0.0
1986-04-29 00:00:00-04:00,0.07225017299369682,0.07225017299369682,0.06959348533501322,0.07012470066547394,30326400,0.0,0.0
1986-04-30 00:00:00-04:00,0.07012469719052516,0.0706559124946621,0.06693740536570349,0.06853105127811432,30902400,0.0,0.0
1986-05-01 00:00:00-04:00,0.06853107415135216,0.06853107415135216,0.06640621222560096,0.06746864318847656,54345600,0.0,0.0
1986-05-02 00:00:00-04:00,0.06746864318847656,0.06853107415135216,0.06693742770703875,0.06746864318847656,20246400,0.0,0.0
1986-05-05 00:00:00-04:00,0.06746866222556491,0.06746866222556491,0.06693744659423828,0.06693744659423828,3254400,0.0,0.0
1986-05-06 00:00:00-04:00,0.06746864318847656,0.06853107415135216,0.06746864318847656,0.06746864318847656,9734400,0.0,0.0
1986-05-07 00:00:00-04:00,0.06746864318847656,0.06799985866991436,0.06640621222560096,0.06746864318847656,5155200,0.0,0.0
1986-05-08 00:00:00-04:00,0.06746862444882401,0.06799983978271484,0.06693740911493318,0.06799983978271484,3542400,0.0,0.0
1986-05-09 00:00:00-04:00,0.06799985866991436,0.06799985866991436,0.06746864318847656,0.06746864318847656,6076800,0.0,0.0
1986-05-12 00:00:00-04:00,0.06746862444882401,0.06959348578438736,0.06746862444882401,0.06799983978271484,10483200,0.0,0.0
1986-05-13 00:00:00-04:00,0.06799983597397738,0.06906226658225127,0.06799983597397738,0.06853105127811432,3830400,0.0,0.0
